label,message
ham,"Hey, are we still on for dinner tonight at 7?"
spam,"Congratulations! You've won a free iPhone. Click here to claim your prize: bit.ly/FreePhone"
ham,"Can you send me the notes from today's meeting?"
spam,"Get rich quick! Earn $5000/week from home. Sign up now!"
ham,"Don't forget to bring your ID for the exam tomorrow."
spam,"Exclusive deal just for you! Buy 1 get 2 free. Limited time offer!"
ham,"I'll be late by 10 minutes, stuck in traffic."
spam,"Your account has been suspended. Verify now: fakebank.com/login"
ham,"Happy birthday! Hope you have a great day 🎉"
spam,"You've been selected for a cash reward. Click to claim!"
ham,"Let's catch up this weekend over coffee?"
spam,"Win a trip to Bali! Just answer 3 questions. Hurry!"
ham,"Can you review my resume before I send it?"
spam,"This is not a drill! You’ve won a $1000 gift card!"
ham,"Meeting rescheduled to 3 PM. Please update your calendar."
spam,"Unlock your full potential with this miracle supplement!"
ham,"Thanks for your help yesterday, really appreciate it."
spam,"Act now! Lowest mortgage rates in history. Apply today!"
ham,"Lunch at the new place near office?"
spam,"Your mobile number has won ₹1,00,000. Call now!"
ham,"I'll email you the project files by tonight."
spam,"Limited offer: Get 90% off on luxury watches!"
ham,"Did you watch the match last night? Crazy ending!"
spam,"Claim your free Netflix subscription. No credit card needed!"
ham,"Let me know when you're free for a quick call."
spam,"Final notice: Your car warranty is about to expire!"
ham,"Good luck on your interview tomorrow!"
spam,"Make money while you sleep. Join our affiliate program!"
ham,"Can you pick up some groceries on your way back?"
spam,"You’ve been pre-approved for a ₹5 lakh loan. Apply now!"
ham,"I'll call you once I'm done with the meeting."
spam,"Get your free trial of weight loss pills today!"
ham,"Don't worry, everything will be fine."
spam,"Your computer is infected! Download antivirus now!"
ham,"See you at the gym later?"
spam,"Earn ₹10,000 daily with zero investment!"
ham,"Just landed. Will text once I reach the hotel."
spam,"You’ve won a shopping voucher worth ₹5000!"
ham,"Can you help me with the presentation slides?"
spam,"Click here to claim your free crypto tokens!"
ham,"Let’s plan a trip next month, maybe Goa?"
spam,"Your OTP is 123456. Do not share it with anyone."
ham,"I’ll be working from home tomorrow."
spam,"Get instant approval for your credit card!"
ham,"Thanks for the reminder, I’ll join the call at 5."
spam,"Download this app and earn rewards instantly!"
ham,"Can you book the cab for tomorrow morning?"
spam,"Your lucky number has been drawn. Call now to win!"
ham,"I'll bring snacks for the movie night."
spam,"This investment opportunity won’t last long. Act now!"
ham,"Can you send me the location again?"
spam,"You've been chosen for a free cruise. Confirm now!"
ham,"I'll be there in 5 minutes."
spam,"Get ₹2000 cashback on your first purchase. Limited time!"
ham,"Let’s meet at the café near your office."
spam,"Your KYC is pending. Update immediately to avoid suspension."
ham,"I loved the movie! Thanks for recommending it."
spam,"Buy now and get 70% off on electronics!"
ham,"Please bring your laptop for the workshop."
spam,"Your loan has been approved. Click to proceed!"
ham,"Don't forget to water the plants today."
spam,"Claim your free Amazon voucher now!"
ham,"I'll drop by after lunch."
spam,"You’ve won a free dinner for two. Book now!"
ham,"Can you share the contact details of the vendor?"
spam,"Get paid to take surveys. Join today!"
ham,"Let’s go hiking this weekend!"
spam,"Your account is at risk. Verify immediately!"
ham,"I'll send you the draft by evening."
spam,"Limited seats available! Register for the webinar now!"
ham,"Thanks for the birthday wishes!"
spam,"Your SIM will be blocked. Update details now!"
ham,"Can you help me with the math homework?"
spam,"Get free access to premium courses. Enroll today!"
ham,"I’m stuck in traffic, will be late."
spam,"Win ₹50,000 by participating in our lucky draw!"
ham,"Let’s order pizza tonight?"
spam,"Your email has won a prize. Click here to claim!"
ham,"I'll be offline for a few hours."
spam,"Download now and get ₹100 instantly!"
ham,"Can you check if the parcel arrived?"
spam,"You’ve been selected for a free health checkup!"
ham,"Let’s do a video call later today."
spam,"Get your dream job with this secret strategy!"
ham,"I’ll bring the charger tomorrow."
spam,"Your bank account needs verification. Click here!"
ham,"Can you send me the recipe?"
spam,"Earn rewards by inviting friends. Start now!"
ham,"I’ll be in the meeting room at 2 PM."
spam,"Your subscription is expiring. Renew now!"
ham,"Let’s go for a walk after dinner."
spam,"Get 5GB free data. Activate now!"
ham,"I’ll ping you once I’m done."
spam,"You’ve won a smartwatch! Claim it here!"
ham,"Can you print the report before the meeting?"
spam,"Your mobile recharge failed. Retry now!"
ham,"Let’s plan a movie night soon."
spam,"Get free access to premium TV channels!"
